p,ct,sa,sigma1,alpha_smooth,beta_smooth,turner_ang,density_ratio,mixed_layer_final_mask,mixed_layer_temp_mask,mixed_layer_sal_mask,mixed_layer_sigma_mask,mixed_layer_mask,gradient_layer_final_mask,mixed_layer_step1_mask,grad_layer_step2_mask,grad_layer_step3_mask,grad_layer_step4_mask,mixed_layer_salt_finger_mask,gradient_layer_salt_finger_mask,mixed_layer_diffusive_convective_mask,gradient_layer_diffusive_convective_mask
1674.0,13.003822,38.74001,33.501516027642765,0.00023271150038808777,0.0007283533234273765,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1675.0,13.003822,38.74001,33.501516027642765,0.0002327283249324801,0.0007283436372096711,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1676.0,13.003822,38.74001,33.501516027642765,0.000232745148771442,0.000728333951412548,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1677.0,13.003822,38.74001,33.501516027642765,0.00023276197190491167,0.0007283242660360049,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1678.0,13.003822,38.74001,33.501516027642765,0.00023277879433282724,0.0007283145810800394,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1679.0,13.003822,38.74001,33.501516027642765,0.00023279561605512694,0.0007283048965446488,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1680.0,13.003822,38.74001,33.501516027642765,0.00023281243707174893,0.000728295212429831,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1681.0,13.003822,38.74001,33.501516027642765,0.00023282925738263147,0.000728285528735583,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1682.0,13.003822,38.74001,33.501516027642765,0.00023284607698771285,0.000728275845461903,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1683.0,13.003822,38.74001,33.501516027642765,0.0002328628958869312,0.000728266162608788,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1684.0,13.003822,38.74001,33.501516027642765,0.00023287971408022493,0.0007282564801762353,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1685.0,13.003822,38.74001,33.501516027642765,0.00023289653156753238,0.0007282467981642431,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1686.0,13.003822,38.74001,33.501516027642765,0.0002329133483487917,0.0007282371165728085,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1687.0,13.003822,38.74001,33.501516027642765,0.00023293016442394135,0.0007282274354019292,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
